Source Section	TrueCnt	FalseCnt	Total
Bounce.ns pos=1560 len=6	133100	366900	500000
Bounce.ns pos=2059 len=8	35800	464200	500000
Bounce.ns pos=2145 len=3	35400	464600	500000
Bounce.ns pos=2226 len=8	35500	464500	500000
Bounce.ns pos=2312 len=3	35900	464100	500000
Collections.ns pos=4159 len=17	6611	503	7114
Collections.ns pos=4243 len=5	0	6627	6627
Collections.ns pos=4668 len=6	7112	0	7112
Collections.ns pos=4701 len=21	6611	501	7112
Collections.ns pos=5203 len=5	14	2	16
Collections.ns pos=5434 len=14	0	16	16
Collections.ns pos=5718 len=4	2	0	2
Collections.ns pos=5754 len=20	0	2	2
Collections.ns pos=5859 len=5	2	0	2
Collections.ns pos=7806 len=6	8	16	24
DeltaBlue.ns pos=2656 len=6	6900	6500	13400
DeltaBlue.ns pos=3915 len=20	500	0	500
DeltaBlue.ns pos=5688 len=7	500	6700	7200
DeltaBlue.ns pos=5773 len=76	6700	0	6700
DeltaBlue.ns pos=6567 len=23	30800	10400	41200
DeltaBlue.ns pos=7450 len=7	13100	17300	30400
DeltaBlue.ns pos=7525 len=6	0	17300	17300
DeltaBlue.ns pos=8243 len=23	6500	6200	12700
DeltaBlue.ns pos=9272 len=7	500	6700	7200
DeltaBlue.ns pos=9369 len=11	12400	300	12700
DeltaBlue.ns pos=10468 len=4	0	10000	10000
DeltaBlue.ns pos=11292 len=7	0	100	100
DeltaBlue.ns pos=11416 len=4	0	100	100
DeltaBlue.ns pos=11576 len=15	0	1900	1900
DeltaBlue.ns pos=11762 len=15	0	1900	1900
DeltaBlue.ns pos=13506 len=12	20600	0	20600
DeltaBlue.ns pos=16152 len=11	500	0	500
DeltaBlue.ns pos=17448 len=40	14600	0	14600
DeltaBlue.ns pos=17460 len=27	8400	0	8400
DeltaBlue.ns pos=18490 len=11	13100	300	13400
DeltaBlue.ns pos=18788 len=6	6600	6500	13100
DeltaBlue.ns pos=18887 len=29	13100	0	13100
DeltaBlue.ns pos=19152 len=27	0	300	300
DeltaBlue.ns pos=20640 len=6	2100	8100	10200
DeltaBlue.ns pos=20709 len=43	2100	0	2100
DeltaBlue.ns pos=20858 len=6	4100	4000	8100
DeltaBlue.ns pos=20928 len=43	4100	0	4100
DeltaBlue.ns pos=21165 len=23	0	4000	4000
DeltaBlue.ns pos=21385 len=25	4000	0	4000
DeltaBlue.ns pos=21750 len=10	6000	4000	10000
DeltaBlue.ns pos=22040 len=10	51100	12700	63800
DeltaBlue.ns pos=22361 len=10	6000	4000	10000
DeltaBlue.ns pos=22547 len=4	8000	2000	10000
DeltaBlue.ns pos=23513 len=10	204000	4000	208000
DeltaBlue.ns pos=25005 len=10	47300	1100	48400
DeltaBlue.ns pos=25273 len=10	6200	200	6400
DeltaBlue.ns pos=25770 len=10	10400	200	10600
DeltaBlue.ns pos=25948 len=36	6400	4200	10600
DeltaBlue.ns pos=25965 len=18	6400	4000	10400
DeltaBlue.ns pos=25997 len=4	6400	4200	10600
DeltaBlue.ns pos=26945 len=6	0	1000	1000
DeltaBlue.ns pos=27185 len=56	2900	300	3200
DeltaBlue.ns pos=27870 len=4	2400	500	2900
DeltaBlue.ns pos=29892 len=4	500	500	1000
Fannkuch.ns pos=2027 len=3	20160	74032	94192
Fannkuch.ns pos=2734 len=3	14480	20156	34636
Fannkuch.ns pos=3053 len=5	4	20160	20164
GCBench.ns pos=4259 len=6	0	5	5
GCBench.ns pos=4370 len=4	23920	22025	45945
GCBench.ns pos=5221 len=4	22640	20745	43385
Harness.ns pos=1604 len=28	1165	0	1165
Harness.ns pos=1848 len=7	600	0	600
Harness.ns pos=5254 len=58	1276	0	1276
Harness.ns pos=5464 len=8	0	1276	1276
Harness.ns pos=5663 len=3	0	1276	1276
Json.ns pos=683 len=8	1	0	1
Json.ns pos=747 len=8	1	0	1
Json.ns pos=817 len=7	1	0	1
Json.ns pos=27196 len=11	1	0	1
Json.ns pos=27310 len=5	590	2802	3392
Json.ns pos=27361 len=5	26	2776	2802
Json.ns pos=27412 len=5	3	2773	2776
Json.ns pos=27463 len=5	1351	1422	2773
Json.ns pos=27514 len=5	553	869	1422
Json.ns pos=27565 len=5	157	712	869
Json.ns pos=27739 len=5	7	705	712
Json.ns pos=27790 len=5	19	686	705
Json.ns pos=27841 len=5	242	444	686
Json.ns pos=27892 len=5	251	193	444
Json.ns pos=27943 len=5	19	174	193
Json.ns pos=27994 len=5	41	133	174
Json.ns pos=28045 len=5	37	96	133
Json.ns pos=28096 len=5	51	45	96
Json.ns pos=28147 len=5	17	28	45
Json.ns pos=28198 len=5	11	17	28
Json.ns pos=28249 len=5	17	0	17
Json.ns pos=28619 len=13	1	552	553
Json.ns pos=28718 len=13	2241	552	2793
Json.ns pos=28806 len=13	552	0	552
Json.ns pos=29047 len=13	598	0	598
Json.ns pos=29328 len=13	0	157	157
Json.ns pos=29435 len=13	441	157	598
Json.ns pos=29530 len=13	157	0	157
Json.ns pos=29655 len=5	598	0	598
Json.ns pos=30281 len=12	1860	0	1860
Json.ns pos=30539 len=5	1949	12886	14835
Json.ns pos=30576 len=6	0	12886	12886
Json.ns pos=31769 len=9	712	0	712
Json.ns pos=31833 len=6	693	19	712
Json.ns pos=31856 len=9	1138	693	1831
Json.ns pos=32014 len=13	0	712	712
Json.ns pos=32223 len=40	712	0	712
Json.ns pos=32502 len=4	5857	4259	10116
Json.ns pos=32595 len=7	1850	693	2543
Json.ns pos=32698 len=12	0	8690	8690
Json.ns pos=32827 len=6	0	25821	25821
Json.ns pos=33010 len=15	25820	1	25821
Json.ns pos=33382 len=15	2661	0	2661
Json.ns pos=34146 len=5	0	8690	8690
Json.ns pos=34185 len=6	0	8690	8690
Json.ns pos=34224 len=6	0	8690	8690
Json.ns pos=34263 len=6	0	8690	8690
Json.ns pos=34339 len=5	101	2442	2543
Json.ns pos=34377 len=5	296	2146	2442
Json.ns pos=34415 len=5	399	1747	2146
Json.ns pos=34453 len=5	150	1597	1747
Json.ns pos=34491 len=5	72	1525	1597
Json.ns pos=34529 len=5	409	1116	1525
Json.ns pos=34567 len=5	125	991	1116
Json.ns pos=34605 len=5	138	853	991
Json.ns pos=34643 len=5	105	748	853
Json.ns pos=34681 len=5	55	693	748
Json.ns pos=34966 len=5	598	0	598
Json.ns pos=42478 len=4	0	3	3
Json.ns pos=43922 len=27	3	0	3
Kernel.ns pos=8273 len=8	14914391	2208170	17122561
Kernel.ns pos=8508 len=8	518300	362200	880500
Kernel.ns pos=9005 len=10	48	20112	20160
Kernel.ns pos=23340 len=14	4102	54431	58533
Kernel.ns pos=24169 len=9	500	8800	9300
Kernel.ns pos=25445 len=20	203806	0	203806
Kernel.ns pos=25598 len=7	0	30700	30700
Kernel.ns pos=25906 len=5	0	300	300
Kernel.ns pos=26032 len=4	300	0	300
Kernel.ns pos=28007 len=3	300	200	500
LanguageFeatures.ns pos=1657 len=4	109460	109450	218910
LanguageFeatures.ns pos=3447 len=3	200000	10	200010
LanguageFeatures.ns pos=4893 len=23	10	0	10
LanguageFeatures.ns pos=5541 len=5	2000	0	2000
LanguageFeatures.ns pos=7211 len=3	81910	81920	163830
LanguageFeatures.ns pos=8032 len=6	200000	200	200200
LanguageFeatures.ns pos=8170 len=7	200	10	210
LanguageFeatures.ns pos=8548 len=6	200000	200	200200
LanguageFeatures.ns pos=8610 len=3	50000	150000	200000
LanguageFeatures.ns pos=8654 len=3	50000	150000	200000
LanguageFeatures.ns pos=8702 len=3	50000	150000	200000
LanguageFeatures.ns pos=8761 len=3	50000	150000	200000
LanguageFeatures.ns pos=8923 len=7	200	10	210
LanguageFeatures.ns pos=9355 len=6	200000	200	200200
LanguageFeatures.ns pos=9513 len=7	200	10	210
List.ns pos=1568 len=3	300	3100	3400
List.ns pos=1847 len=5	210700	1875200	2085900
List.ns pos=1893 len=5	70200	1805000	1875200
List.ns pos=2062 len=20	70200	210700	280900
List.ns pos=2475 len=5	100	900	1000
Mandelbrot.ns pos=2639 len=5	1	0	1
Mandelbrot.ns pos=2932 len=6	750	1	751
Mandelbrot.ns pos=3044 len=6	562500	750	563250
Mandelbrot.ns pos=3328 len=13	18446648	562500	19009148
Mandelbrot.ns pos=3588 len=5	224551	18222097	18446648
Mandelbrot.ns pos=4049 len=3	69750	492750	562500
Mandelbrot.ns pos=4248 len=12	750	492000	492750
NBody.ns pos=659 len=8	1	0	1
Permute.ns pos=1515 len=4	362000	504000	866000
Platform.ns pos=1557 len=3	0	1	1
Queens.ns pos=1788 len=16	113000	763000	876000
Queens.ns pos=1923 len=3	1000	112000	113000
Queens.ns pos=1965 len=17	7000	105000	112000
Richards.ns pos=1217 len=15	18588	9296	27884
Richards.ns pos=1262 len=32	9294	9294	18588
Richards.ns pos=1524 len=7	0	9296	9296
Richards.ns pos=2019 len=7	11625	11627	23252
Richards.ns pos=2068 len=11	2327	9300	11627
Richards.ns pos=2207 len=29	2942	20310	23252
Richards.ns pos=2392 len=3	2325	17985	20310
Richards.ns pos=2624 len=33	8685	9300	17985
Richards.ns pos=3411 len=12	1	9999	10000
Richards.ns pos=3511 len=20	5007	4992	9999
Richards.ns pos=4903 len=7	2327	2327	4654
Richards.ns pos=5020 len=18	1164	1163	2327
Richards.ns pos=5351 len=4	357	8951	9308
Richards.ns pos=7743 len=4	0	33245	33245
Richards.ns pos=8235 len=4	0	23246	23246
Richards.ns pos=8527 len=4	0	9999	9999
Richards.ns pos=8599 len=22	9999	0	9999
Richards.ns pos=8995 len=14	1	106604	106605
Richards.ns pos=9046 len=22	40814	65790	106604
Richards.ns pos=9212 len=7	0	65790	65790
Richards.ns pos=9462 len=12	9987	10127	20114
Richards.ns pos=9537 len=22	10127	340	10467
Richards.ns pos=11877 len=44	40814	65790	106604
Richards.ns pos=11901 len=19	35253	65790	101043
Richards.ns pos=12065 len=43	23250	42540	65790
Richards.ns pos=12084 len=23	23250	17913	41163
Richards.ns pos=12977 len=8	14759	8487	23246
Richards.ns pos=13085 len=18	3140	11619	14759
Richards.ns pos=13267 len=19	23250	42540	65790
Richards.ns pos=13381 len=8	14760	8490	23250
Sieve.ns pos=1585 len=9	66900	433000	499900
Sieve.ns pos=1714 len=7	1106900	66900	1173800
Sort.ns pos=1632 len=40	0	200	200
Sort.ns pos=1951 len=15	0	92600	92600
Sort.ns pos=2365 len=9	1400	191600	193000
Sort.ns pos=2422 len=10	700	192300	193000
Sort.ns pos=2733 len=6	408000	430500	838500
Sort.ns pos=3283 len=4	220800	69900	290700
Sort.ns pos=3337 len=7	386600	220800	607400
Sort.ns pos=3391 len=15	271400	220800	492200
Sort.ns pos=3449 len=4	199300	21500	220800
Sort.ns pos=3682 len=3	33200	36700	69900
Sort.ns pos=3745 len=6	36600	33300	69900
Sort.ns pos=4087 len=44	100000	0	100000
Sort.ns pos=4156 len=44	100000	0	100000
Sort.ns pos=4243 len=7	497100	618800	1115900
Sort.ns pos=4285 len=5	49800	447300	497100
Sort.ns pos=4416 len=5	50100	568700	618800
Sort.ns pos=4643 len=3	100	99900	100000
Storage.ns pos=1615 len=3	409600	136500	546100
Towers.ns pos=1402 len=28	0	820500	820500
Towers.ns pos=1654 len=5	0	819100	819100
Towers.ns pos=2205 len=3	409600	409500	819100
