Source Section	Call Count	Num Targets
DeltaBlue.ns pos=8297 len=8	12398	1
DeltaBlue.ns pos=21787 len=9	11998	2
DeltaBlue.ns pos=21825 len=9	7998	1
DeltaBlue.ns pos=25308 len=9	12398	2
DeltaBlue.ns pos=25343 len=12	12398	2
DeltaBlue.ns pos=25381 len=13	12398	2
DeltaBlue.ns pos=25421 len=9	398	2
DeltaBlue.ns pos=25457 len=12	398	2
DeltaBlue.ns pos=25496 len=13	398	2
Kernel.ns pos=8303 len=8	29828780	45
Kernel.ns pos=8538 len=8	1036598	3
Kernel.ns pos=8664 len=5	8558	2
Kernel.ns pos=15390 len=19	3887080	7
Kernel.ns pos=15520 len=8	9249000	5
Kernel.ns pos=15707 len=19	282238	1
Kernel.ns pos=22658 len=22	664486	8
LanguageFeatures.ns pos=6094 len=5	3998	1
Richards.ns pos=13540 len=27	131578	4
