Source Section	New Arrays	Size
Collections.ns pos=3861 len=9	2	16
DeltaBlue.ns pos=7918 len=18	400	1
DeltaBlue.ns pos=10346 len=18	100	1
Fannkuch.ns pos=3358 len=7	1	12
GCBench.ns pos=3998 len=45	5	4
Kernel.ns pos=8766 len=21	4	7
Kernel.ns pos=17842 len=20	20160	7
Kernel.ns pos=19074 len=9	136508	4
Kernel.ns pos=19074 len=9	1	6
Kernel.ns pos=19074 len=9	4	7
Kernel.ns pos=19074 len=9	2000	8
Kernel.ns pos=19074 len=9	2000	16
Kernel.ns pos=19074 len=9	100	21
Kernel.ns pos=19074 len=9	157	32
Kernel.ns pos=19074 len=9	100	100
Kernel.ns pos=19074 len=9	100	130
Kernel.ns pos=19074 len=9	100	800
Kernel.ns pos=19074 len=9	100	1000
Kernel.ns pos=19074 len=9	5	250000
Kernel.ns pos=22167 len=9	13600	1
Kernel.ns pos=22167 len=9	6300	2
Kernel.ns pos=22167 len=9	1	8
Kernel.ns pos=22167 len=9	500	15
Kernel.ns pos=22167 len=9	2168	50
Kernel.ns pos=23460 len=21	900	2
Kernel.ns pos=23460 len=21	800	4
Kernel.ns pos=23460 len=21	700	8
Kernel.ns pos=23460 len=21	700	16
Kernel.ns pos=23460 len=21	300	30
Kernel.ns pos=23460 len=21	700	32
Kernel.ns pos=23460 len=21	1	100
Kernel.ns pos=23460 len=21	1	200
Kernel.ns pos=24074 len=18	400	2
Kernel.ns pos=24074 len=18	200	4
Kernel.ns pos=24074 len=18	400	32
NBody.ns pos=1032 len=66	1	5
Permute.ns pos=1333 len=6	100	7
Sieve.ns pos=1309 len=9	100	5000
Storage.ns pos=1647 len=25	38900	1
Storage.ns pos=1647 len=25	41800	2
Storage.ns pos=1647 len=25	45200	3
Storage.ns pos=1647 len=25	40800	4
Storage.ns pos=1647 len=25	40500	5
Storage.ns pos=1647 len=25	39100	6
Storage.ns pos=1647 len=25	41000	7
Storage.ns pos=1647 len=25	43600	8
Storage.ns pos=1647 len=25	39200	9
Storage.ns pos=1647 len=25	39500	10
Towers.ns pos=2586 len=6	100	4
