Source Section	New Objects	Number of Fields	Class
Actors.ns pos=1084 len=43	1	8	Actors
AllSmall.ns pos=1091 len=23	1	7	AllBenchmarks
AllSmall.ns pos=1432 len=0	36	9	NoReportingRun
Bounce.ns pos=1084 len=43	1	5	Bounce
Bounce.ns pos=1277 len=0	1	0	Bounce
Bounce.ns pos=1724 len=11	10000	4	Ball
Collections.ns pos=1089 len=19	1	9	Collections
Collections.ns pos=3815 len=9	2	3	Dictionary
Collections.ns pos=3933 len=40	16	4	Entry
DeltaBlue.ns pos=16 len=43	1	21	DeltaBlue
DeltaBlue.ns pos=629 len=0	1	0	DeltaBlue
DeltaBlue.ns pos=842 len=0	500	3	Plan
DeltaBlue.ns pos=1194 len=0	200	1	Planner
DeltaBlue.ns pos=11869 len=11	8	2	Strength
DeltaBlue.ns pos=22639 len=54	500	3	EditConstraint
DeltaBlue.ns pos=23138 len=59	2000	4	EqualityConstraint
DeltaBlue.ns pos=23639 len=97	2000	6	ScaleConstraint
DeltaBlue.ns pos=27959 len=54	2100	3	StayConstraint
DeltaBlue.ns pos=28532 len=0	6300	6	Variable
Fannkuch.ns pos=1302 len=43	1	5	Fannkuch
Fannkuch.ns pos=1535 len=0	1	0	FannkuchBenchmark
Fannkuch.ns pos=1785 len=9	4	3	Fannkuch
Files.ns pos=12 len=47	1	13	Files
GCBench.ns pos=2799 len=43	1	4	GCBench
GCBench.ns pos=2966 len=0	1	6	GCBench
GCBench.ns pos=5538 len=17	89330	2	Node
Harness.ns pos=1085 len=23	1	7	Harness
Harness.ns pos=2090 len=9	500	1	Random
Json.ns pos=109 len=43	1	16	Json
Json.ns pos=456 len=0	1	0	Json
Json.ns pos=26818 len=12	1	8	JsonParser
Json.ns pos=34803 len=0	157	1	HashIndexTable
Json.ns pos=37742 len=0	553	1	JsonArray
Json.ns pos=39470 len=8	3	4	JsonLiteral
Json.ns pos=40092 len=12	712	1	JsonNumber
Json.ns pos=40679 len=0	157	3	JsonObject
Json.ns pos=44232 len=8	1351	1	JsonString
Kernel.ns pos=22066 len=9	22069	3	Vector
LanguageFeatures.ns pos=1099 len=43	19	36	LanguageFeaturesSuite
LanguageFeatures.ns pos=1514 len=0	1	0	Fibonacci
LanguageFeatures.ns pos=2942 len=0	1	0	OuterConstLoop
LanguageFeatures.ns pos=3318 len=0	1	1	FieldLoop
LanguageFeatures.ns pos=4665 len=0	1	1	FieldWrite
LanguageFeatures.ns pos=5065 len=0	1	0	IntegerLoop
LanguageFeatures.ns pos=5424 len=0	1	0	Loop
LanguageFeatures.ns pos=5983 len=0	1	0	NonLocalReturn
LanguageFeatures.ns pos=6466 len=0	1	1	Exceptions
LanguageFeatures.ns pos=6501 len=9	2000	1	ReturnEx
LanguageFeatures.ns pos=7111 len=0	1	0	Recurse
LanguageFeatures.ns pos=7482 len=0	1	0	Sum
LanguageFeatures.ns pos=7958 len=0	1	0	WhileLoop
LanguageFeatures.ns pos=8466 len=0	1	0	WhileLoopPoly
LanguageFeatures.ns pos=9228 len=0	1	0	VectorRead
LanguageFeatures.ns pos=9804 len=0	1	0	Dispatch
LanguageFeatures.ns pos=10204 len=0	1	0	DispatchNoArg
LanguageFeatures.ns pos=11102 len=0	1	0	DispatchPerformNoArg
LanguageFeatures.ns pos=14308 len=0	1	0	ObjectLiterals
LanguageFeatures.ns pos=14417 len=0	1000	0	objL@607@15
LanguageFeatures.ns pos=14697 len=0	1	1	ObjectLiterals2
LanguageFeatures.ns pos=14771 len=0	1000	0	objL@624@13
LanguageFeatures.ns pos=15123 len=0	1	0	ObjectLiterals3
LanguageFeatures.ns pos=15201 len=0	1000	0	objL@645@13
List.ns pos=1082 len=43	1	3	List
List.ns pos=1190 len=0	1	0	List
List.ns pos=2383 len=6	3100	2	ListElement
Mandelbrot.ns pos=2261 len=43	1	2	Mandelbrot
Mandelbrot.ns pos=2374 len=0	1	1	Mandelbrot
Mirrors.ns pos=1080 len=23	1	6	Mirrors
Mirrors.ns pos=3617 len=15	32	1	ObjectMirror
NBody.ns pos=216 len=43	1	5	NBody
NBody.ns pos=381 len=0	1	1	NBody
NBody.ns pos=920 len=0	1	1	NBodySystem
NBody.ns pos=3131 len=0	5	7	Body
Permute.ns pos=1085 len=43	1	3	Permute
Permute.ns pos=1241 len=0	1	2	Permute
Platform.ns pos=15 len=23	1	10	Platform
Processes.ns pos=186 len=23	1	5	Processes
Queens.ns pos=1083 len=43	1	3	Queens
Queens.ns pos=1237 len=0	1	4	Queens
Richards.ns pos=15 len=43	1	24	Richards
Richards.ns pos=557 len=0	1	0	Richards
Richards.ns pos=731 len=0	1	8	RichardsBenchmarks
Richards.ns pos=9797 len=6	2	1	DeviceTaskDataRecord
Richards.ns pos=9880 len=6	2	2	HandlerTaskDataRecord
Richards.ns pos=10303 len=6	1	2	IdleTaskDataRecord
Richards.ns pos=10398 len=42	8	5	Packet
Richards.ns pos=10889 len=0	6	3	TaskState
Richards.ns pos=12375 len=150	6	9	TaskControlBlock
Richards.ns pos=13608 len=6	1	2	WorkerTaskDataRecord
Sieve.ns pos=1083 len=43	1	3	Sieve
Sieve.ns pos=1238 len=0	1	0	Sieve
Sort.ns pos=1082 len=43	3	8	Sort
Sort.ns pos=2517 len=0	1	2	BubbleSort
Sort.ns pos=3036 len=0	1	2	QuickSort
Sort.ns pos=3963 len=8	100000	3	TreeNode
Sort.ns pos=4550 len=0	1	2	TreeSort
Storage.ns pos=1085 len=43	1	4	Storage
Storage.ns pos=1279 len=0	1	1	Storage
Streams.ns pos=14 len=23	1	17	Streams
System.ns pos=1084 len=23	1	1	System
Threading.ns pos=1082 len=43	1	7	Threading
Towers.ns pos=1101 len=43	1	4	Towers
Towers.ns pos=1255 len=0	1	2	Towers
Towers.ns pos=2825 len=9	1400	2	TowersDisk
Transactions.ns pos=19 len=43	1	3	Transactions
